,A,B,C,D,E,F,G,H,I,J
502,RF-1175,Orbit Travels,DEL-KTM,16600,0,13/05/26,19-05-2026,Refund Done,,NEFT done
503,RF-1666,TripHub,DEL-KTM,18700,0,05-03-2026,07-03-2026,Refund Done,,payout complete
504,RF-1707,Coral Voyages,BLR-DXB,26400,,12-05-2026,30-05-2026,Refund Done,N. Iyer,paid to wallet
505,RF-1094 (revised),Peak Journeys,DEL-KUL,30600,,30-03-2026,01-04-2026,Refund Done,N. Iyer,settled
506,RF-1820,Himalaya Holidays,DEL-DXB,15800,0,05-02-2026,09-02-2026,Refund Done,,NEFT done
507,RF-1051,Sunrise Trips,BLR-DXB,24800,0,29-05-2026,13-06-2026,Refund Done,N. Iyer,transferred
508,RF-1338,GoFly Holidays,DEL-SIN,37600,0,13-03-2026,15-03-2026,Refund Done,S. Bhatt,transferred
509,RF-1286,Sunrise Trips,DEL-KTM,10200,0,27-05-2026,31-05-2026,Refund Done,,settled
510,RF-1743,Global Wings,HYD-DEL,11700,,30-04-2026,02-05-2026,Refund Done,,NEFT done
511,RF-1189,BlueJet Tours,AMD-BOM,9300,0,05/04/26,07-04-2026,Refund Done,,paid to wallet
512,RF-1173,Sunrise Trips,BOM-DXB,23600,0,02-03-2026,07-03-2026,Refund Done,N. Iyer,transferred
513,RF-1278,Kaveri Tours,BLR-DXB,10500,0,12-02-2026,16-02-2026,Refund Done,,transferred
514,RF-1549,Peak Journeys,DEL-KTM,13900,1500,08-06-2026,15-06-2026,Refund Done,,payout complete
515,RF-1768,SafarNama Travel,HYD-BKK,29900,,20-05-2026,04-06-2026,Refund Done,N. Iyer,NEFT done
516,RF-1799,Nomad Travel,DEL-CCU,5800,0,04-06-2026,08-06-2026,Refund Done,,payout complete
517,RF-1148,Skyline Travels,COK-DXB,16500,,02-06-2026,06-06-2026,Refund Done,,transferred
518,RF-1827,Global Wings,DEL-DXB,21100,,21-04-2026,26-04-2026,Refund Done,N. Iyer,payout complete
519,RF-1802,ORBIT TRAVELS,DEL-SIN,40500,0,15-02-2026,18-02-2026,Refund Done,R. Menon,transferred
520,RF-1101,GoFly Holidays,MAA-CMB,9700,0,04-04-2026,08-04-2026,Refund Done,,NEFT done
521,RF-1447,WANDER AGENCY,BOM-DXB,16900,0,20-05-2026,26-05-2026,Refund Done,,NEFT done
522,RF-1712,Anand Travels,DEL-DXB,18700,,27-03-2026,31-03-2026,Refund Done,,paid to wallet
523,rf-1711,TripHub,DEL-DXB,13600,0,17-03-2026,18/03/26,Refund Done,,paid to wallet
524,RF-1590,Wander Agency,BLR-MAA,9300,,22-02-2026,23-02-2026,Refund Done,,payout complete
525,RF-1845,GoFly Holidays,PNQ-DEL,10100,0,04-04-2026,08-04-2026,Refund Done,,payout complete
526,RF-1228,Peak Journeys,DEL-DXB,14300,0,09-02-2026,10-02-2026,Refund Done,,paid to wallet
527,RF-1694,Skyline Travels,BLR-MAA,6400,0,08-05-2026,11-05-2026,Refund Done,,transferred
528,rf-1367,BlueJet Tours,BLR-DXB,23200,0,09-02-2026,12-02-2026,Refund Done,N. Iyer,NEFT done
529,RF-1290,Kaveri Tours,PNQ-DEL,12200,0,07-03-2026,10-03-2026,Refund Done,,payout complete
530,RF-1640,Peak Journeys,CCU-BOM,11300,,29-05-2026,02-06-2026,Refund Done,,transferred
531,RF-1298,GoFly Holidays,MAA-CMB,13900,1500,07-06-2026,12-06-2026,Refund Done,,NEFT done
532,RF-1113,Nomad Travel,DEL-SIN,,0,28-06-2026,,Pending Payout,,in queue
533,RF-1771,Kaveri Tours,DEL-KUL,31100,0,28-02-2026,02-03-2026,Refund Done,N. Iyer,payout complete
534,RF-1150,Orbit Travels,MAA-CMB,,,29-06-2026,,Pending Payout,,awaiting approval
535,RF-1826,Pinnacle Getaways,DEL-CCU,8000,0,29-03-2026,31/03/26,Refund Done,,paid to wallet
536,RF-1332,Nomad Travel,BOM-DXB,14100,0,02-03-2026,03-03-2026,Refund Done,,paid to wallet
537,RF-1831,Himalaya Holidays,CCU-BOM,11800,0,17-05-2026,18-05-2026,Refund Done,,NEFT done
538,RF-1588 (revised),Wander Agency,HYD-DEL,9400,,29-04-2026,01-05-2026,Refund Done,,paid to wallet
539,RF-1801,Voyage Desk,GOI-BOM,6900,0,06-02-2026,08/02/26,Refund Done,,paid to wallet
540,RF-1029,Skyline Travels,HYD-BKK,17100,0,06-03-2026,09-03-2026,Refund Done,,settled
541,RF-1015,TripHub,DEL-KUL,15200,0,17-06-2026,26-06-2026,Refund Done,,settled
542,RF-1079,SafarNama Travel,DEL-DXB,28800,0,10-02-2026,13-02-2026,Refund Done,N. Iyer,NEFT done
543,rf-1705,Wander Agency,HYD-BKK,30700,0,30-04-2026,05-05-2026,Refund Done,S. Bhatt,payout complete
544,RF-1635,Wander Agency,CCU-BOM,14800,0,05-04-2026,07-04-2026,Refund Done,,transferred
545,RF-1492,Skyline Travels,BOM-BKK,21200,0,19-04-2026,24-04-2026,Refund Done,N. Iyer,payout complete
546,RF-1623,BlueJet Tours,DEL-SIN,32000,0,13-04-2026,15-04-2026,Refund Done,N. Iyer,NEFT done
547,RF-1807,Metro Yatra,BLR-DXB,19400,0,09-02-2026,12-02-2026,Refund Done,,paid to wallet
548,RF-1503,BlueJet Tours,HYD-DEL,9200,,19-02-2026,22-02-2026,Refund Done,,NEFT done
549,RF-1587,Global Wings,BLR-MAA,10100,,10-06-2026,14-06-2026,Refund Done,,payout complete
550,RF-1221,Kaveri Tours,DEL-BOM,11600,0,09-06-2026,14-06-2026,Refund Done,,transferred
551,RF-1702,Wander Agency,HYD-BKK,29600,2600,11-05-2026,03-06-2026,Refund Done,N. Iyer,paid to wallet
552,RF-1606,BlueJet Tours,DEL-KUL,32500,,14-03-2026,20-03-2026,Refund Done,S. Bhatt,payout complete
553,RF-1437,Himalaya Holidays,DEL-DXB,26400,0,07-03-2026,11-03-2026,Refund Done,S. Bhatt,settled
554,RF-1468,VOYAGE DESK,DEL-DXB,25500,2200,07-05-2026,16-05-2026,Refund Done,N. Iyer,NEFT done
555,RF-1581,Yatri Junction,COK-DXB,14300,0,06-02-2026,07-02-2026,Refund Done,,paid to wallet
556,RF-1216,wander agency,BLR-DXB,15000,0,05-05-2026,06-05-2026,Refund Done,,paid to wallet
557,RF-1506,Nomad Travel,BOM-DXB,21000,0,05-03-2026,09-03-2026,Refund Done,N. Iyer,transferred
558,RF-1045,GoFly Holidays,CCU-BOM,10900,0,22/02/26,26-02-2026,Refund Done,,settled
559,RF-1117,Yatri Junction,BLR-DXB,23200,0,11-02-2026,13/02/26,Refund Done,N. Iyer,paid to wallet
560,RF-1202,TripHub,BLR-MAA,7900,,19-02-2026,23-02-2026,Refund Done,,transferred
561,RF-1496,Skyline Travels,BLR-DXB,25600,,07-03-2026,10/03/26,Refund Done,N. Iyer,NEFT done
562,RF 1374,Voyage Desk,CCU-BOM,8500,,02-03-2026,06-03-2026,Refund Done,,transferred
563,RF-1634,Sunrise Trips,DEL-KTM,12400,,01-05-2026,03-05-2026,Refund Done,,payout complete
564,RF-1609,GoFly Holidays,DEL-KTM,9900,0,31-03-2026,03-04-2026,Refund Done,,paid to wallet
565,RF-1416,Wander Agency,DEL-DXB,22600,2000,06-05-2026,21-05-2026,Refund Done,N. Iyer,transferred
566,RF-1294,Himalaya Holidays,BLR-DXB,26300,0,08-04-2026,10-04-2026,Refund Done,S. Bhatt,paid to wallet
567,RF-1813,GoFly Holidays,CCU-BOM,9100,0,27-03-2026,29-03-2026,Refund Done,,transferred
568,RF-1750,BlueJet Tours,DEL-CCU,12900,,11-02-2026,15-02-2026,Refund Done,,NEFT done
569,RF-1776,Lotus Travel Co,BLR-MAA,0,,21-05-2026,25-05-2026,Declined,,not approved
570,RF-1007,TripHub,DEL-DXB,21400,0,04-04-2026,07-04-2026,Refund Done,N. Iyer,transferred
571,RF-1344,Himalaya Holidays,BLR-DXB,0,0,25-04-2026,30-04-2026,Declined,,declined
572,RF-1267 (revised),TripHub,BLR-MAA,6400,0,30-05-2026,31-05-2026,Refund Done,,NEFT done
573,RF-1687,GoFly Holidays,DEL-KTM,18000,0,10-04-2026,11-04-2026,Refund Done,,paid to wallet
574,RF-1104,GoFly Holidays,DEL-DXB,11200,1500,26/05/26,01-06-2026,Refund Done,,payout complete
575,RF-1765,Metro Yatra,CCU-BOM,8400,0,30-05-2026,02-06-2026,Refund Done,,NEFT done
576,RF-1461,Skyline Travels,DEL-BOM,,0,30-06-2026,,Pending Payout,,pending manager sign-off
577,RF-1417,Orbit Travels,PNQ-DEL,4100,0,29-05-2026,02-06-2026,Refund Done,,transferred
578,RF-1525,GoFly Holidays,DEL-KTM,11400,1500,16-06-2026,19-06-2026,Refund Done,,payout complete
579,RF-1024,Peak Journeys,CCU-BOM,5300,0,03-02-2026,05-02-2026,Refund Done,,payout complete
580,RF1470,Kaveri Tours,DEL-CCU,8300,0,28-04-2026,29-04-2026,Refund Done,,paid to wallet
581,RF-1674,GoFly Holidays,COK-DXB,27900,,09-02-2026,13-02-2026,Refund Done,N. Iyer,NEFT done
582,RF-1306,Skyline Travels,HYD-DEL,,,26-06-2026,,Pending Payout,,awaiting approval
583,RF-1463,DeccanFly,DEL-BOM,,0,30-06-2026,,Pending Payout,,hold - amount mismatch
584,RF-1257,Skyline Travels,DEL-DXB,27100,0,19-02-2026,24-02-2026,Refund Done,N. Iyer,paid to wallet
585,RF-1650,BlueJet Tours,DEL-CCU,4200,0,09-04-2026,10-04-2026,Refund Done,,NEFT done
586,RF-1737,Wander Agency,PNQ-DEL,4900,,28-06-2026,30-06-2026,Refund Done,,NEFT done
587,RF-1511,Anand Travels,DEL-KUL,,1900,09/06/26,,Pending Payout,,pending manager sign-off
588,RF-1791,TripHub,BLR-DXB,,1600,29-06-2026,,Pending Payout,,supplier not confirmed
589,RF-1165,Orbit Travels,DEL-BOM,10300,,17-04-2026,19-04-2026,Refund Done,,settled
590,RF-1618,Lotus Travel Co,BLR-DXB,16300,,19-03-2026,21-03-2026,Refund Done,,paid to wallet
591,RF-1414,TripHub,BLR-DXB,28500,0,17/03/26,22-03-2026,Refund Done,N. Iyer,settled
592,RF-1757,Wander Agency,COK-DXB,,,13-06-2026,,Pending Payout,,awaiting approval
593,RF-1456,GoFly Holidays,DEL-BOM,5100,,23-05-2026,24-05-2026,Refund Done,,paid to wallet
594,RF-1488,Peak Journeys,DEL-CCU,8800,0,21-05-2026,26-05-2026,Refund Done,,NEFT done
595,RF-1498,Kaveri Tours,DEL-KTM,14000,0,07-04-2026,09-04-2026,Refund Done,,NEFT done
596,RF-1756,PEAK JOURNEYS,DEL-CCU,7500,,07-03-2026,10-03-2026,Refund Done,,transferred
597,RF-1621,Lotus  Travel  Co,DEL-SIN,27100,0,22-04-2026,24-04-2026,Refund Done,N. Iyer,transferred
598,RF-1828,Voyage Desk,DEL-BOM,12500,,19-02-2026,20-02-2026,Refund Done,,settled
599,RF-1647,Voyage Desk,HYD-DEL,6300,0,06-05-2026,12-05-2026,Refund Done,,settled
600,RF-1778,Skyline Travels,DEL-KUL,,2300,04-06-2026,,Pending Payout,,supplier not confirmed
601,RF-1192,Yatri Junction,AMD-BOM,9600,0,05/05/26,08-05-2026,Refund Done,,settled
602,RF-1855,Himalaya Holidays,DEL-CCU,11400,0,29-03-2026,30-03-2026,Refund Done,,settled
603,RF-1721,Kaveri Tours,DEL-SIN,16500,0,15-05-2026,20-05-2026,Refund Done,,payout complete
604,RF-1649,Orbit Travels,DEL-KUL,16500,,24-02-2026,27-02-2026,Refund Done,,transferred
605,RF-1131,GoFly Holidays,AMD-BOM,7000,,22-03-2026,24-03-2026,Refund Done,,transferred
606,RF-1261,TripHub,BLR-MAA,7600,0,03-05-2026,07-05-2026,Refund Done,,settled
607,RF-1152,BlueJet Tours,DEL-DXB,23000,2000,02-06-2026,21-06-2026,Refund Done,S. Bhatt,NEFT done
608,RF-1763,SafarNama Travel,DEL-DXB,28600,0,23/04/26,27-04-2026,Refund Done,N. Iyer,payout complete
609,RF-1455,Peak Journeys,DEL-CCU,8400,0,17-03-2026,20-03-2026,Refund Done,,settled
610,RF-1545,coral voyages,BOM-DXB,19000,0,25-02-2026,01-03-2026,Refund Done,,paid to wallet
611,RF-1013,Sunrise Trips,CCU-BOM,4600,0,25-03-2026,26-03-2026,Refund Done,,paid to wallet
612,RF-1614,Metro Yatra,DEL-SIN,0,0,03-05-2026,06-05-2026,Declined,,rejected
613,RF-1059,BlueJet Tours,HYD-DEL,7000,0,01-04-2026,03-04-2026,Refund Done,,settled
614,RF-1782,TripHub,DEL-SIN,,0,17-06-2026,,Pending Payout,,supplier not confirmed
615,RF-1797,GoFly Holidays,BOM-BKK,21100,0,21-03-2026,25-03-2026,Refund Done,N. Iyer,transferred
616,RF-1239,triphub,BLR-DXB,14200,0,25-05-2026,31-05-2026,Refund Done,,settled
617,RF-1578,Peak Journeys,HYD-DEL,6800,,19-03-2026,20/03/26,Refund Done,,payout complete
618,RF-1301,BlueJet Tours,HYD-DEL,5000,0,21-03-2026,25-03-2026,Refund Done,,settled
619,RF-1554,peak journeys,HYD-DEL,7600,,26-04-2026,28-04-2026,Refund Done,,paid to wallet
620,RF-1548,Metro Yatra,DEL-BOM,,,28-06-2026,,Pending Payout,,hold - amount mismatch
621,RF-1284,BlueJet Tours,DEL-CCU,9900,,05-03-2026,07-03-2026,Refund Done,,payout complete
622,RF-1633,BlueJet Tours,DEL-DXB,12700,0,20-02-2026,24-02-2026,Refund Done,,NEFT done
623,RF-1325,GoFly Holidays,BLR-MAA,10700,,11-02-2026,13/02/26,Refund Done,,paid to wallet
624,RF-1719,BlueJet Tours,PNQ-DEL,7600,0,17-02-2026,18-02-2026,Refund Done,,settled
625,RF-1022,TripHub,HYD-BKK,23900,0,25-02-2026,01-03-2026,Refund Done,S. Bhatt,settled
626,RF-1751,GoFly Holidays,HYD-DEL,7000,0,30-05-2026,01-06-2026,Refund Done,,payout complete
627,RF-1521,GoFly Holidays,DEL-KTM,14000,,26-03-2026,29-03-2026,Refund Done,,settled
628,RF-1659,BlueJet Tours,DEL-KUL,18000,0,01-04-2026,05-04-2026,Refund Done,,paid to wallet
629,RF-1049,BlueJet Tours,DEL-SIN,41700,0,10-04-2026,12-04-2026,Refund Done,S. Bhatt,NEFT done
630,RF-1363 (revised),Metro Yatra,DEL-KTM,15000,0,04-05-2026,06-05-2026,Refund Done,,transferred
631,RF-1806,TripHub,BLR-MAA,6700,0,19-04-2026,23-04-2026,Refund Done,,settled
632,RF-1170,Nomad Travel,BOM-BKK,35900,0,03-03-2026,07-03-2026,Refund Done,N. Iyer,transferred
633,RF-1181,Pinnacle Getaways,GOI-BOM,8800,,08-06-2026,10-06-2026,Refund Done,,paid to wallet
634,RF-1769,Anand Travels,DEL-DXB,10800,0,24-02-2026,28-02-2026,Refund Done,,payout complete
635,RF-1775,Sunrise Trips,DEL-CCU,9400,0,23-03-2026,27-03-2026,Refund Done,,NEFT done
636,RF-1803,TripHub,DEL-CCU,11700,0,06/04/26,08-04-2026,Refund Done,,NEFT done
637,RF-1839,TripHub,DEL-CCU,5800,0,29-03-2026,01-04-2026,Refund Done,,NEFT done
638,RF-1630,TripHub,DEL-BOM,10700,0,09-03-2026,11-03-2026,Refund Done,,paid to wallet
639,RF-1502,DeccanFly,DEL-DXB,22500,,03-03-2026,06-03-2026,Refund Done,N. Iyer,NEFT done
640,RF-1676,Pinnacle Getaways,COK-DXB,0,0,10-02-2026,16-02-2026,Declined,,rejected
641,RF-1366,TripHub,DEL-CCU,9000,,07-06-2026,15-06-2026,Refund Done,,transferred
642,RF-1391,GoFly Holidays,BOM-BKK,25600,0,23-02-2026,25-02-2026,Refund Done,N. Iyer,transferred
643,RF-1225,Voyage Desk,BOM-BKK,18200,1600,06-05-2026,12-05-2026,Refund Done,,NEFT done
644,RF-1121,Global Wings,BLR-MAA,3500,,10-02-2026,12-02-2026,Refund Done,,settled
645,rf-1033,Skyline Travels,HYD-DEL,8100,0,06/04/26,10-04-2026,Refund Done,,settled
646,RF-1400,Wander Agency,DEL-CCU,12300,0,12-02-2026,13-02-2026,Refund Done,,paid to wallet
647,RF-1028,BlueJet Tours,DEL-DXB,10200,1500,28-05-2026,03-06-2026,Refund Done,,transferred
648,RF-1601,TripHub,DEL-DXB,30400,,09-02-2026,11-02-2026,Refund Done,N. Iyer,payout complete
649,RF-1717,Lotus Travel Co,AMD-BOM,7500,,15-06-2026,23-06-2026,Refund Done,,settled
650,RF-1551,Peak Journeys,HYD-BKK,31200,2700,12-05-2026,23-05-2026,Refund Done,N. Iyer,paid to wallet
651,RF-1186,TripHub,DEL-KUL,31800,,02-03-2026,05-03-2026,Refund Done,S. Bhatt,settled
652,RF-1143,SafarNama Travel,BOM-BKK,14800,0,06/03/26,07-03-2026,Refund Done,,settled
653,RF-1032,METRO YATRA,DEL-CCU,9100,0,10-06-2026,13/06/26,Refund Done,,transferred
654,RF-1595,Metro Yatra,GOI-BOM,4000,0,21-03-2026,24-03-2026,Refund Done,,payout complete
655,RF-1527,WANDER AGENCY,DEL-CCU,0,0,19-04-2026,24-04-2026,Declined,,rejected by policy
656,RF-1288,Sunrise Trips,MAA-CMB,12800,0,13-04-2026,15-04-2026,Refund Done,,paid to wallet
657,RF-1738,TripHub,BOM-BKK,31400,,05-04-2026,07-04-2026,Refund Done,R. Menon,paid to wallet
658,RF-1358,Nomad Travel,BLR-DXB,16600,0,15-04-2026,16-04-2026,Refund Done,,transferred
659,RF-1188,TripHub,MAA-CMB,8900,1500,03-06-2026,04-06-2026,Refund Done,,NEFT done
660,RF-1080,Lotus Travel Co,BLR-DXB,17800,1500,13-05-2026,17-05-2026,Refund Done,,settled
661,RF-1388,safarnama travel,CCU-BOM,8900,0,21-06-2026,26-06-2026,Refund Done,,paid to wallet
662,RF-1365,ZIPTRIP,BLR-DXB,13900,0,06-03-2026,08-03-2026,Refund Done,,payout complete
663,RF-1433,Skyline Travels,HYD-BKK,21600,0,23-04-2026,27-04-2026,Refund Done,S. Bhatt,payout complete
664,RF-1824,GoFly Holidays,BLR-DXB,16500,0,05-04-2026,08-04-2026,Refund Done,,payout complete
665,RF-1316,BlueJet Tours,DEL-CCU,7700,0,07-02-2026,09-02-2026,Refund Done,,paid to wallet
666,RF-1206,BlueJet Tours,DEL-BOM,5500,0,22/02/26,25-02-2026,Refund Done,,settled
667,RF-1197,GoFly Holidays,BOM-DXB,16200,1500,07-05-2026,10-05-2026,Refund Done,,settled
668,RF-1184,Nomad Travel,COK-DXB,11000,0,12-03-2026,14-03-2026,Refund Done,,NEFT done
669,RF-1478,BlueJet Tours,DEL-BOM,6000,,05-06-2026,08-06-2026,Refund Done,,paid to wallet
670,RF-1177,Pinnacle Getaways,DEL-KUL,13300,0,26-03-2026,28-03-2026,Refund Done,,settled
671,RF-1710,GoFly Holidays,PNQ-DEL,0,,08-02-2026,14-02-2026,Declined,,not approved
672,RF-1383,Orbit Travels,BLR-DXB,19100,0,04-04-2026,07-04-2026,Refund Done,,NEFT done
673,RF-1582,Sunrise Trips,MAA-CMB,5800,1500,07-06-2026,09/06/26,Refund Done,,transferred
674,RF-1427,Yatri Junction,DEL-KTM,7700,0,08-02-2026,09-02-2026,Refund Done,,payout complete
675,RF-1452,Pinnacle Getaways,DEL-BOM,13700,0,19-05-2026,23-05-2026,Refund Done,,NEFT done
676,RF-1226,Orbit Travels,MAA-CMB,15800,1500,04-06-2026,09-06-2026,Refund Done,,paid to wallet
677,RF-1105,GoFly Holidays,BLR-DXB,12800,,15-04-2026,18-04-2026,Refund Done,,settled
678,RF-1512,Metro Yatra,CCU-BOM,7100,0,16-04-2026,18-04-2026,Refund Done,,NEFT done
679,RF-1318,Kaveri Tours,HYD-DEL,11100,0,08-03-2026,12-03-2026,Refund Done,,NEFT done
680,RF-1678,Kaveri Tours,HYD-BKK,27700,0,08-02-2026,11-02-2026,Refund Done,S. Bhatt,paid to wallet
681,RF-1172,Sunrise Trips,DEL-DXB,25500,0,26-04-2026,28-04-2026,Refund Done,N. Iyer,settled
682,RF-1258,Pinnacle Getaways,BLR-MAA,10100,0,01-03-2026,03-03-2026,Refund Done,,payout complete
683,RF-1781,Anand Travels,BLR-DXB,18700,0,11-03-2026,13-03-2026,Refund Done,,NEFT done
684,RF-1126,Metro Yatra,GOI-BOM,3900,,27-02-2026,03-03-2026,Refund Done,,payout complete
685,RF-1591,Lotus Travel Co,GOI-BOM,,0,30-06-2026,,Pending Payout,,pending manager sign-off
686,RF-1429,Lotus Travel Co,MAA-CMB,12500,0,02-05-2026,04-05-2026,Refund Done,,transferred
687,RF-1436,BlueJet Tours,GOI-BOM,4900,0,13-06-2026,21-06-2026,Refund Done,,NEFT done
688,RF-1244,Skyline Travels,DEL-CCU,11000,0,21-04-2026,22-04-2026,Refund Done,,NEFT done
689,RF-1194,Metro Yatra,BOM-DXB,18300,,08-02-2026,10-02-2026,Refund Done,,payout complete
690,RF-1373,BlueJet Tours,DEL-KUL,0,0,10-03-2026,13-03-2026,Declined,,non-refundable fare
