,A,B,C,D,E,F,G,H,I,J
449,RF-1724,TripHub,DEL-DXB,29600,07-05-2026,24-05-2026,Closed,Vikram T.,Phone,closed - agent informed
450,RF-1637,Metro Yatra,HYD-BKK,33400,10-02-2026,16-02-2026,Closed,Aditi M.,Portal,customer notified
451,RF-1673,Nomad Travel,CCU-BOM,,09-06-2026,12-06-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
452,RF-1768,SafarNama Travel,HYD-BKK,29900,16-05-2026,05-06-2026,Closed,Aditi M.,,customer notified
453,RF-1660,GoFly Holidays,CCU-BOM,13700,20-02-2026,28-02-2026,Closed,Faizan K.,Email,refund given
454,RF-1577,DeccanFly,DEL-KUL,34700,22-05-2026,23-05-2026,Closed,Rakesh N.,Portal,done
455,RF-1363,Metro Yatra,DEL-KTM,15000,30-04-2026,09-05-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
456,RF 1257,Skyline Travels,DEL-DXB,27100,15-02-2026,26-02-2026,Closed,,WhatsApp,amount credited as per process
457,rf-1101,GoFly Holidays,MAA-CMB,9700,02-04-2026,10-04-2026,Closed,Vikram T.,Portal,customer notified
458,RF-1032,Metro Yatra,DEL-CCU,9100,08-06-2026,15-06-2026,Closed,Faizan K.,Portal,refund given
459,RF-1452,Pinnacle Getaways,DEL-BOM,13700,18-05-2026,27/05/26,Closed,Faizan K.,Portal,"refund processed, informed agent"
460,RF-1459,BlueJet Tours,DEL-DXB,13200,26-03-2026,03-04-2026,Closed,,WhatsApp,done
461,RF-1385,Coral Voyages,CCU-BOM,9600,07-06-2026,09/06/26,Closed,Faizan K.,WhatsApp,refund given
462,RF-1558,Peak Journeys,DEL-BOM,9000,24-05-2026,26-05-2026,Closed,Priya S.,Portal,customer notified
463,RF-1281,Voyage Desk,DEL-BOM,13900,29-06-2026,30-06-2026,Escalated,Priya S.,Portal,with finance team
464,RF-1167,Kaveri Tours,CCU-BOM,10200,15-05-2026,22-05-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
465,RF-1409,Nomad Travel,MAA-CMB,7000,09-03-2026,18-03-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
466,RF-1153,Metro Yatra,BOM-DXB,19100,23-05-2026,01-06-2026,Closed,Faizan K.,Portal,amount credited as per process
467,RF-1049,BlueJet Tours,DEL-SIN,41700,07-04-2026,16-04-2026,Closed,Faizan K.,Portal,refund given
468,RF-1100,TripHub,PNQ-DEL,9700,07-05-2026,15-05-2026,Closed,Aditi M.,Phone,done
469,RF-1655,Yatri Junction,DEL-KTM,8200,28/06/26,30-06-2026,Closed,Rakesh N.,WhatsApp,refund given
470,RF-1586,Metro Yatra,PNQ-DEL,9700,26-04-2026,05-05-2026,Closed,Priya S.,,closed - agent informed
471,RF-1193,Wander Agency,AMD-BOM,6100,31/03/26,07-04-2026,Not Eligible,Rakesh N.,Phone,non-refundable fare
472,RF-1506,Nomad Travel,BOM-DXB,,01/03/26,12-03-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
473,RF-1648,Orbit Travels,DEL-BOM,8500,01-04-2026,06-04-2026,Closed,Priya S.,Phone,refund given
474,RF-1046,SafarNama Travel,HYD-DEL,9500,01/04/26,11-04-2026,Closed,Rakesh N.,Portal,refund given
475,RF-1656,Orbit Travels,DEL-CCU,6600,27-03-2026,04-04-2026,Closed,Faizan K.,Email,amount credited as per process
476,RF-1567,Coral Voyages,DEL-BOM,4800,06-05-2026,09-05-2026,Closed,Aditi M.,Portal,customer notified
477,RF-1350,Himalaya Holidays,HYD-BKK,20100,09-03-2026,15-03-2026,Closed,Rakesh N.,Phone,done
478,RF-1178,Coral Voyages,DEL-KUL,22300,03-03-2026,07-03-2026,Closed,Sneha R.,Portal,refund given
479,RF-1765,Metro Yatra,CCU-BOM,8400,27-05-2026,03-06-2026,Closed,Faizan K.,Portal,refund given
480,RF-1445,Global Wings,BOM-DXB,12800,03-03-2026,06-03-2026,Closed,Vikram T.,Email,refund given
481,RF-1497,Nomad Travel,HYD-DEL,9400,27-04-2026,03-05-2026,Closed,Sneha R.,Phone,customer notified
482,RF-1819,peak journeys,MAA-CMB,12200,27-06-2026,30-06-2026,Working,Rakesh N.,Email,pending confirmation
483,RF-1072,Kaveri Tours,COK-DXB,13200,28-02-2026,06-03-2026,Closed,Vikram T.,WhatsApp,refund given
484,RF-1537,Sunrise Trips,HYD-BKK,32600,02-06-2026,14-06-2026,Working,Rakesh N.,Portal,waiting on supplier
485,RF-1763,SafarNama Travel,DEL-DXB,28600,21-04-2026,27-04-2026,Closed,Faizan K.,Portal,customer notified
486,RF-1169,Peak Journeys,BOM-BKK,24000,23/06/26,28/06/26,Escalated,Sneha R.,Portal,under review
487,RF-1141,TripHub,BOM-BKK,33500,21-06-2026,28-06-2026,Working,Rakesh N.,Portal,checking with finance
488,RF-1058,Metro Yatra,BOM-DXB,28200,08-05-2026,06-06-2026,Closed,Rakesh N.,Portal,amount credited as per process
489,RF-1695,Peak Journeys,COK-DXB,15900,21-04-2026,02-05-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
490,RF-1704,GoFly Holidays,DEL-KUL,31300,20-04-2026,21-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
491,RF-1239,TripHub,BLR-DXB,14200,24-05-2026,31-05-2026,Closed,Priya S.,Portal,customer notified
492,RF-1259,BlueJet Tours,COK-DXB,26200,08-06-2026,14-06-2026,Closed,Rakesh N.,WhatsApp,refund given
493,RF-1039,Peak Journeys,DEL-DXB,12900,29-04-2026,04-05-2026,Closed,Priya S.,Email,closed - agent informed
494,RF-1753,DeccanFly,DEL-DXB,17000,30-04-2026,08-05-2026,Closed,Rakesh N.,Email,amount credited as per process
495,RF-1396,Kaveri Tours,DEL-DXB,21200,05-04-2026,14-04-2026,Closed,Faizan K.,Phone,done
496,RF-1812,ZipTrip,DEL-SIN,35900,07-06-2026,14-06-2026,Escalated,Rakesh N.,Email,waiting on supplier
497,RF-1440,Voyage Desk,MAA-CMB,16100,10-04-2026,14/04/26,Closed,Priya S.,Email,amount credited as per process
498,RF-1381,Nomad Travel,HYD-DEL,6200,21-06-2026,24-06-2026,Escalated,Sneha R.,Portal,escalated to finance
499,RF-1074,BlueJet Tours,HYD-DEL,5900,29-06-2026,30-06-2026,Working,Priya S.,WhatsApp,escalated to finance
500,RF-1829,Metro Yatra,DEL-KTM,10900,17-04-2026,24-04-2026,Closed,Priya S.,Portal,refund given
501,RF-1679,Nomad Travel,DEL-KUL,23100,01-03-2026,04/03/26,Not Eligible,Faizan K.,Portal,outside policy
502,RF-1529,TripHub,HYD-BKK,28600,18-02-2026,26-02-2026,Closed,Aditi M.,Portal,refund given
503,RF-1661,Lotus Travel Co,DEL-KUL,24100,02-05-2026,17-05-2026,Closed,Sneha R.,Phone,done
504,RF-1261,TripHub,BLR-MAA,7600,02-05-2026,09-05-2026,Closed,Aditi M.,Portal,done
505,RF-1551,Peak Journeys,HYD-BKK,33900,11-05-2026,27-05-2026,Closed,Priya S.,Portal,done
506,RF-1822,GoFly Holidays,DEL-DXB,16900,25-03-2026,02-04-2026,Closed,Rakesh N.,Email,closed - agent informed
507,RF-1674,GoFly Holidays,COK-DXB,27900,07-02-2026,13-02-2026,Closed,Faizan K.,Portal,refund given
508,RF-1554,Peak Journeys,HYD-DEL,7600,22-04-2026,28-04-2026,Closed,Sneha R.,Email,refund given
509,RF-1722,Orbit  Travels,BOM-BKK,25800,25-06-2026,30-06-2026,Escalated,Aditi M.,Portal,under review
510,RF-1771,Kaveri Tours,DEL-KUL,31100,24-02-2026,06-03-2026,Closed,Aditi M.,Portal,done
511,RF-1197,GoFly Holidays,BOM-DXB,17700,04-05-2026,11-05-2026,Closed,Vikram T.,Phone,"refund processed, informed agent"
512,RF-1365,ZipTrip,BLR-DXB,13900,02-03-2026,11-03-2026,Closed,Vikram T.,Portal,done
513,RF-1816,TripHub,HYD-BKK,27900,31-05-2026,03-06-2026,Closed,Rakesh N.,Email,done
514,RF-1317,Nomad Travel,DEL-DXB,18500,03-04-2026,07-04-2026,Closed,,Email,done
515,RF-1292,Voyage Desk,DEL-KUL,23100,27-06-2026,30-06-2026,Working,Faizan K.,Portal,escalated to finance
516,RF 1079,SafarNama Travel,DEL-DXB,28800,09-02-2026,13-02-2026,Closed,Aditi M.,Portal,done
517,RF-1048,Lotus Travel Co,DEL-BOM,5000,27/04/26,05-05-2026,Closed,Vikram T.,Portal,refund given
518,RF-1034,Himalaya Holidays,DEL-CCU,7400,18-02-2026,21-02-2026,Closed,Rakesh N.,Portal,refund given
519,RF-1698,TripHub,BLR-MAA,7500,01-04-2026,07-04-2026,Closed,Rakesh N.,WhatsApp,refund given
520,RF-1078,TripHub,PNQ-DEL,10000,29-04-2026,08-05-2026,Closed,Priya S.,Portal,customer notified
521,RF-1143,SafarNama Travel,BOM-BKK,14800,02-03-2026,11-03-2026,Closed,Priya S.,Phone,closed - agent informed
522,RF-1712,Anand Travels,DEL-DXB,18700,24-03-2026,01-04-2026,Closed,Aditi M.,Portal,amount credited as per process
523,RF-1136,TripHub,CCU-BOM,11200,26-03-2026,31-03-2026,Closed,Priya S.,Phone,amount credited as per process
524,RF-1784,Metro Yatra,BLR-MAA,8700,02-04-2026,09-04-2026,Closed,Sneha R.,Phone,closed - agent informed
525,RF-1368,TripHub,DEL-BOM,13700,30-03-2026,07-04-2026,Closed,Faizan K.,Email,done
526,RF-1467,GoFly Holidays,DEL-SIN,19900,12-06-2026,21-06-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
527,RF-1001,Skyline Travels,BOM-BKK,29100,08-06-2026,16-06-2026,Escalated,Faizan K.,Portal,under review
528,RF-1484,BlueJet Tours,DEL-BOM,7400,10-03-2026,20-03-2026,Closed,Faizan K.,Portal,customer notified
529,RF-1692,Anand Travels,DEL-BOM,4800,23-03-2026,01-04-2026,Closed,Faizan K.,,closed - agent informed
530,RF-1338,GoFly Holidays,DEL-SIN,37600,12-03-2026,16-03-2026,Closed,Aditi M.,Portal,refund given
531,RF-1584,TripHub,CCU-BOM,6400,15-04-2026,25-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
532,RF-1438,Anand Travels,BLR-MAA,9300,25-03-2026,02-04-2026,Closed,Rakesh N.,Email,done
533,RF-1600,Voyage Desk,MAA-CMB,14900,14-03-2026,22-03-2026,Closed,Aditi M.,Portal,closed - agent informed
534,RF-1847,BlueJet Tours,BOM-DXB,23500,08-04-2026,16-04-2026,Closed,Rakesh N.,Email,customer notified
535,RF-1294,Himalaya Holidays,BLR-DXB,26300,05-04-2026,10-04-2026,Closed,Rakesh N.,Portal,closed - agent informed
536,RF-1823,SafarNama Travel,BLR-MAA,4300,15-03-2026,27-03-2026,Not Eligible,Faizan K.,Phone,non-refundable fare
537,RF-1633,BlueJet Tours,DEL-DXB,12700,19-02-2026,27-02-2026,Closed,Priya S.,Email,refund given
538,RF-1238,DeccanFly,BOM-BKK,21400,14-03-2026,22/03/26,Closed,Priya S.,Portal,done
539,RF-1284,BlueJet Tours,DEL-CCU,9900,04/03/26,10/03/26,Closed,Priya S.,Portal,refund given
540,RF-1614,Metro Yatra,DEL-SIN,20500,02-05-2026,08-05-2026,Not Eligible,Vikram T.,Phone,past cancellation window
541,RF-1774,Pinnacle Getaways,BLR-MAA,10100,04-06-2026,13-06-2026,Closed,Faizan K.,Phone,customer notified
542,RF-1768,SafarNama Travel,HYD-BKK,29900,16-05-2026,05-06-2026,Closed,Aditi M.,,customer notified
543,RF-1734,Wander Agency,MAA-CMB,15500,04-03-2026,10-03-2026,Closed,Faizan K.,Portal,done
544,RF-1063,Voyage Desk,DEL-KUL,25700,07-06-2026,21-06-2026,Working,Vikram T.,Portal,escalated to finance
545,RF-1787,Peak Journeys,BLR-DXB,14000,21-03-2026,26-03-2026,Closed,Rakesh N.,Portal,amount credited as per process
546,RF-1303,Nomad Travel,HYD-DEL,5100,22-04-2026,30-04-2026,Closed,Priya S.,Email,customer notified
547,RF-1022,TripHub,HYD-BKK,23900,21-02-2026,05-03-2026,Closed,Aditi M.,Portal,closed - agent informed
548,RF-1430,Himalaya Holidays,CCU-BOM,6100,23-06-2026,30-06-2026,Escalated,Priya S.,Portal,escalated to finance
549,RF-1190,Pinnacle Getaways,GOI-BOM,8800,18-04-2026,20-04-2026,Closed,Rakesh N.,Portal,done
550,RF-1285,BlueJet Tours,BOM-DXB,12100,11-06-2026,12-06-2026,Closed,Rakesh N.,Portal,done
551,RF-1355,Peak Journeys,DEL-KTM,8700,14-05-2026,23-05-2026,Closed,Rakesh N.,Portal,refund given
552,RF-1588,Wander Agency,HYD-DEL,9400,26-04-2026,04-05-2026,Closed,Priya S.,Email,amount credited as per process
553,RF-1240,Peak Journeys,DEL-BOM,7700,03-02-2026,10-02-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
554,RF-1025,SafarNama Travel,DEL-BOM,11600,20-03-2026,29-03-2026,Closed,Priya S.,Email,customer notified
555,RF-1521,GoFly Holidays,DEL-KTM,14000,22-03-2026,02-04-2026,Closed,Aditi M.,Portal,amount credited as per process
556,RF-1471,Metro Yatra,BLR-MAA,10500,17-03-2026,23-03-2026,Closed,Rakesh N.,Phone,amount credited as per process
557,RF-1530,GoFly Holidays,PNQ-DEL,8700,10-06-2026,21-06-2026,Closed,Rakesh N.,Email,amount credited as per process
558,RF-1807,Metro Yatra,BLR-DXB,19400,06-02-2026,16-02-2026,Closed,Aditi M.,Portal,amount credited as per process
559,RF-1187,TripHub,DEL-BOM,6300,24-06-2026,29-06-2026,Closed,Aditi M.,Phone,refund given
560,RF-1435,Anand Travels,HYD-DEL,13100,27-02-2026,06-03-2026,Closed,Aditi M.,Portal,closed - agent informed
561,rf-1043,Pinnacle Getaways,DEL-BOM,14000,30-06-2026,30-06-2026,Closed,Rakesh N.,Portal,refund given
562,RF-1402,BlueJet Tours,COK-DXB,23200,22-05-2026,20-06-2026,Closed,Aditi M.,Email,closed - agent informed
563,RF-1093,TripHub,DEL-BOM,9300,09-03-2026,19-03-2026,Closed,Vikram T.,WhatsApp,customer notified
564,RF-1108,Himalaya Holidays,DEL-KUL,30100,21-02-2026,01/03/26,Closed,Rakesh N.,Portal,closed - agent informed
565,RF-1550,SafarNama Travel,BLR-MAA,7700,28-06-2026,30-06-2026,Working,Vikram T.,Portal,pending confirmation
566,RF-1474,Kaveri Tours,BLR-MAA,5100,21-05-2026,31-05-2026,Closed,Aditi M.,Email,done
567,RF-1423,Metro Yatra,PNQ-DEL,5100,14-03-2026,19-03-2026,Closed,Priya S.,Portal,amount credited as per process
568,RF-1507,Skyline Travels,DEL-KTM,18000,08-06-2026,08-06-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
569,RF-1354,Pinnacle Getaways,AMD-BOM,6700,09-02-2026,17-02-2026,Closed,Faizan K.,Portal,customer notified
570,RF-1337,Pinnacle Getaways,HYD-DEL,12300,05-02-2026,15-02-2026,Closed,Aditi M.,Phone,customer notified
571,RF-1358,Nomad Travel,BLR-DXB,16600,13-04-2026,17-04-2026,Closed,Aditi M.,Portal,done
572,RF-1052,TripHub,COK-DXB,23200,26-03-2026,02-04-2026,Closed,Aditi M.,Phone,done
573,RF-1572,BlueJet Tours,GOI-BOM,3500,13-05-2026,26-05-2026,Not Eligible,Priya S.,Portal,past cancellation window
574,RF-1639,Global Wings,DEL-SIN,15200,01-04-2026,10-04-2026,Closed,Sneha R.,Phone,closed - agent informed
575,rf-1553,GoFly Holidays,BLR-MAA,6200,22-04-2026,26-04-2026,Closed,Rakesh N.,Portal,amount credited as per process
576,RF-1766,Wander Agency,AMD-BOM,6100,14-04-2026,17-04-2026,Closed,Faizan K.,WhatsApp,done
577,RF-1781,Anand Travels,BLR-DXB,18700,09-03-2026,14-03-2026,Closed,Priya S.,Phone,refund given
578,RF-1738,TripHub,BOM-BKK,31400,02-04-2026,08-04-2026,Closed,Sneha R.,,closed - agent informed
579,RF-1012,BlueJet Tours,DEL-DXB,18100,04-02-2026,13-02-2026,Closed,Priya S.,Portal,refund given
580,RF 1349,Nomad Travel,DEL-BOM,11200,15-05-2026,22/05/26,Closed,Aditi M.,Portal,done
581,RF-1835,Global Wings,DEL-SIN,37900,07-05-2026,09-06-2026,Closed,Priya S.,Phone,"refund processed, informed agent"
582,RF-1347,Kaveri Tours,AMD-BOM,9400,18-03-2026,23-03-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
583,RF-1393,DeccanFly,BLR-DXB,20900,20-02-2026,28-02-2026,Closed,Vikram T.,Portal,amount credited as per process
584,RF-1053,Voyage Desk,AMD-BOM,8100,14-06-2026,26-06-2026,Closed,Vikram T.,Portal,refund given
585,RF-1132,TripHub,DEL-BOM,10200,04/02/26,11-02-2026,Closed,Rakesh N.,Phone,customer notified
586,RF-1228,Peak Journeys,DEL-DXB,14300,06/02/26,10/02/26,Closed,Aditi M.,Portal,"refund processed, informed agent"
587,RF-1275,Nomad Travel,COK-DXB,25100,27-06-2026,30-06-2026,Working,Aditi M.,Email,waiting on supplier
588,RF-1761,Global  Wings,DEL-SIN,24800,15-02-2026,24-02-2026,Closed,,Email,done
589,RF-1456,GoFly Holidays,DEL-BOM,5100,22-05-2026,26-05-2026,Closed,Aditi M.,WhatsApp,refund given
590,RF-1499,Peak Journeys,BLR-DXB,18300,29-05-2026,29-05-2026,Closed,Faizan K.,Portal,done
591,RF-1206,BlueJet Tours,DEL-BOM,5500,19-02-2026,25-02-2026,Closed,Priya S.,Portal,done
592,RF-1352,Wander Agency,PNQ-DEL,12100,02-03-2026,10-03-2026,Closed,Faizan K.,Email,done
593,RF-1525,GoFly Holidays,DEL-KTM,12900,13-06-2026,21-06-2026,Closed,Sneha R.,Portal,refund given
594,RF-1105,GoFly Holidays,BLR-DXB,12800,11-04-2026,21-04-2026,Closed,Priya S.,Phone,done
595,RF-1232,GoFly Holidays,DEL-KTM,8800,22-04-2026,30-04-2026,Closed,Faizan K.,WhatsApp,customer notified
596,RF-1752,GoFly Holidays,COK-DXB,16000,26-05-2026,07-06-2026,Closed,Vikram T.,Email,customer notified
597,RF-1427,Yatri Junction,DEL-KTM,7700,07-02-2026,11-02-2026,Closed,Rakesh N.,Portal,amount credited as per process
598,RF-1732,Metro Yatra,DEL-DXB,12400,20-02-2026,27-02-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
599,RF-1782,TripHub,DEL-SIN,34300,13-06-2026,30-06-2026,Working,Faizan K.,WhatsApp,awaiting approval
600,RF-1705,Wander Agency,HYD-BKK,30700,28-04-2026,05-05-2026,Closed,Priya S.,Email,done
601,RF-1687,GoFly Holidays,DEL-KTM,18000,09-04-2026,15-04-2026,Closed,Priya S.,Email,closed - agent informed
602,RF-1260,Nomad Travel,DEL-BOM,9500,04-06-2026,07-06-2026,Closed,Vikram T.,Email,"refund processed, informed agent"
603,RF-1801,Voyage Desk,GOI-BOM,6900,04-02-2026,09-02-2026,Closed,Sneha R.,Portal,refund given
604,RF-1041,GoFly Holidays,PNQ-DEL,7000,08-06-2026,20-06-2026,Closed,Aditi M.,Portal,"refund processed, informed agent"
605,RF-1690,Voyage Desk,CCU-BOM,5500,06/04/26,12-04-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
606,RF-1574,GoFly Holidays,DEL-CCU,12100,05-06-2026,12-06-2026,Closed,Priya S.,Email,done
607,RF-1366,TripHub,DEL-CCU,9000,05-06-2026,19/06/26,Closed,Faizan K.,Phone,amount credited as per process
608,RF-1008,Sunrise Trips,AMD-BOM,,27-02-2026,07/03/26,Closed,Aditi M.,,amount credited as per process
609,RF-1182,Himalaya Holidays,CCU-BOM,6000,21-05-2026,30-05-2026,Closed,Priya S.,Portal,customer notified
610,RF-1052,TripHub,COK-DXB,23200,26-03-2026,02-04-2026,Closed,Aditi M.,Phone,done
611,RF-1543,Yatri Junction,DEL-KUL,26700,28-02-2026,05-03-2026,Closed,Priya S.,Phone,refund given
612,RF-1382,Wander Agency,DEL-KTM,16600,15-05-2026,25-05-2026,Closed,Priya S.,Portal,refund given
613,RF-1416,Wander Agency,DEL-DXB,24600,05-05-2026,21-05-2026,Closed,Aditi M.,Email,done
614,RF-1446,Orbit Travels,BLR-DXB,12900,12-06-2026,17-06-2026,Closed,Rakesh N.,Portal,done
615,RF-1310,SafarNama Travel,DEL-KUL,25500,21-03-2026,31-03-2026,Closed,Faizan K.,Phone,"refund processed, informed agent"
616,RF-1557,Yatri Junction,BLR-MAA,5500,19-04-2026,27-04-2026,Closed,Rakesh N.,Portal,customer notified
617,RF-1291,peak journeys,MAA-CMB,15500,25-03-2026,03-04-2026,Closed,Faizan K.,Portal,done
618,RF-1609,GoFly Holidays,DEL-KTM,9900,29-03-2026,05-04-2026,Closed,Sneha R.,Phone,done
619,RF-1439,BlueJet Tours,BLR-MAA,,10-04-2026,15-04-2026,Closed,Rakesh N.,Portal,amount credited as per process
620,RF-1805,Peak Journeys,DEL-DXB,11800,04-05-2026,13-05-2026,Closed,Sneha R.,Phone,refund given
621,RF-1174,Peak Journeys,BLR-MAA,5100,29-03-2026,06-04-2026,Closed,Aditi M.,Phone,done
622,RF-1120,Kaveri Tours,DEL-SIN,15900,07-06-2026,17-06-2026,Closed,Faizan K.,Email,customer notified
623,RF-1045,GoFly Holidays,CCU-BOM,10900,19-02-2026,26-02-2026,Closed,Faizan K.,Phone,"refund processed, informed agent"
624,RF-1131,GoFly Holidays,AMD-BOM,7000,21-03-2026,25-03-2026,Closed,Aditi M.,Portal,refund given
625,RF-1036,Kaveri Tours,DEL-DXB,11300,26-04-2026,02-05-2026,Closed,Faizan K.,Phone,amount credited as per process
626,RF-1697,Voyage Desk,DEL-DXB,23200,15-04-2026,23-04-2026,Closed,Rakesh N.,Portal,amount credited as per process
627,RF-1211,Metro Yatra,HYD-BKK,25200,11-05-2026,03-06-2026,Closed,Aditi M.,Portal,refund given
628,RF-1154,Nomad Travel,CCU-BOM,7500,28-04-2026,01-05-2026,Closed,Priya S.,Phone,customer notified
629,RF-1827,Global Wings,DEL-DXB,21100,18-04-2026,30-04-2026,Closed,Faizan K.,Portal,done
630,RF-1066,safarnama travel,HYD-BKK,25700,25-02-2026,05-03-2026,Closed,Rakesh N.,,customer notified
631,RF-1585,Wander Agency,COK-DXB,14100,30-03-2026,30-03-2026,Closed,Vikram T.,Portal,done
632,RF-1789,Orbit Travels,CCU-BOM,10900,18-06-2026,29-06-2026,Closed,Aditi M.,Portal,customer notified
633,RF-1408,Wander Agency,DEL-SIN,28300,17-04-2026,22-04-2026,Closed,Faizan K.,Portal,closed - agent informed
634,RF-1708,triphub,AMD-BOM,6200,23-06-2026,30-06-2026,Working,Sneha R.,Portal,waiting on supplier
635,RF 1301,BlueJet Tours,HYD-DEL,5000,17-03-2026,27-03-2026,Closed,Priya S.,Email,amount credited as per process
636,RF-1243,GoFly Holidays,DEL-BOM,9900,02-04-2026,08-04-2026,Closed,Rakesh N.,Phone,refund given
637,RF-1532,Orbit Travels,DEL-DXB,21800,05-05-2026,13-05-2026,Working,Vikram T.,Portal,informed agent
638,RF-1780,Wander Agency,HYD-BKK,12800,17/02/26,23-02-2026,Closed,Aditi M.,WhatsApp,customer notified
639,RF-1788,GOFLY HOLIDAYS,DEL-BOM,6800,06-06-2026,15-06-2026,Closed,Faizan K.,,customer notified
640,RF-1710,GoFly Holidays,PNQ-DEL,6300,04-02-2026,19-02-2026,Not Eligible,Faizan K.,Email,outside policy
641,RF-1451,Yatri Junction,COK-DXB,29400,29-05-2026,01-06-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
642,RF-1709,TripHub,DEL-CCU,7800,26-05-2026,04/06/26,Closed,Aditi M.,Portal,amount credited as per process
643,RF-1646,BlueJet Tours,CCU-BOM,14100,02-05-2026,09-05-2026,Closed,Priya S.,Portal,done
644,RF-1324,Nomad Travel,DEL-BOM,12400,14-04-2026,21-04-2026,Closed,Rakesh N.,Portal,refund given
645,RF-1173,Sunrise Trips,BOM-DXB,23600,28-02-2026,07-03-2026,Closed,Rakesh N.,Portal,done
646,RF-1621,Lotus Travel Co,DEL-SIN,27100,18-04-2026,27-04-2026,Closed,Aditi M.,Portal,amount credited as per process
647,RF 1831,Himalaya Holidays,CCU-BOM,11800,14-05-2026,21-05-2026,Closed,Priya S.,Portal,customer notified
648,RF-1258,Pinnacle Getaways,BLR-MAA,10100,25-02-2026,03-03-2026,Closed,Priya S.,Portal,customer notified
649,RF-1245,Sunrise Trips,HYD-BKK,15700,25-02-2026,04-03-2026,Working,Faizan K.,Portal,closed - agent informed
650,RF-1680,GoFly  Holidays,BOM-BKK,22500,01-03-2026,09-03-2026,Closed,Vikram T.,Portal,closed - agent informed
651,RF-1509,TripHub,GOI-BOM,4600,23/02/26,04-03-2026,Closed,Priya S.,Portal,closed - agent informed
652,RF-1170,Nomad Travel,BOM-BKK,35900,27-02-2026,07-03-2026,Closed,Faizan K.,Phone,customer notified
653,RF-1205,DeccanFly,HYD-BKK,,04-03-2026,11-03-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
654,RF-1777,GoFly Holidays,MAA-CMB,13400,23-03-2026,01-04-2026,Closed,Vikram T.,Phone,done
655,RF-1123,BlueJet Tours,BOM-BKK,25400,10-06-2026,25-06-2026,Closed,Priya S.,Email,refund given
656,RF-1745,BlueJet Tours,BOM-DXB,29100,10-06-2026,28-06-2026,Working,Faizan K.,Portal,waiting on supplier
657,RF-1513,TripHub,DEL-CCU,4700,19-05-2026,25-05-2026,Closed,Sneha R.,Portal,customer notified
658,RF-1511,Anand Travels,DEL-KUL,23300,07-06-2026,19-06-2026,Working,Vikram T.,Email,pending confirmation
659,RF-1290,Kaveri Tours,PNQ-DEL,12200,06-03-2026,13-03-2026,Closed,Aditi M.,Phone,customer notified
660,RF-1465,Wander Agency,DEL-KTM,11100,04-05-2026,12-05-2026,Closed,Rakesh N.,Portal,amount credited as per process
661,RF-1024,Peak Journeys,CCU-BOM,5300,02-02-2026,07-02-2026,Closed,Rakesh N.,Phone,closed - agent informed
662,RF-1770,GoFly Holidays,BOM-BKK,33100,17-06-2026,18-06-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
663,RF-1117,Yatri Junction,BLR-DXB,23200,09-02-2026,17/02/26,Closed,Sneha R.,Portal,amount credited as per process
664,RF-1015,TripHub,DEL-KUL,15200,16-06-2026,29-06-2026,Closed,Rakesh N.,Portal,customer notified
665,RF-1094,Peak Journeys,DEL-KUL,30600,27-03-2026,04-04-2026,Closed,Sneha R.,Portal,refund given
666,RF-1004,Sunrise Trips,MAA-CMB,15900,09-06-2026,18-06-2026,Closed,Aditi M.,Portal,refund given
667,RF-1860,Sunrise Trips,DEL-DXB,20400,09-05-2026,12-05-2026,Closed,Rakesh N.,WhatsApp,refund given
668,RF-1391,GoFly Holidays,BOM-BKK,25600,22-02-2026,26-02-2026,Closed,Priya S.,Portal,done
669,RF-1693,TripHub,BOM-DXB,19000,10-02-2026,21-02-2026,Closed,Faizan K.,WhatsApp,customer notified
670,RF-1686,TripHub,HYD-BKK,26900,23-03-2026,31-03-2026,Closed,Priya S.,Portal,refund given
671,RF-1390,Metro Yatra,DEL-DXB,22300,27-05-2026,14-06-2026,Closed,Rakesh N.,Portal,amount credited as per process
672,RF-1560,TripHub,DEL-DXB,15000,22-06-2026,24-06-2026,Closed,Aditi M.,Portal,"refund processed, informed agent"
673,RF-1389,Orbit Travels,BLR-DXB,19000,10-02-2026,16-02-2026,Closed,Priya S.,Portal,closed - agent informed
674,RF-1833,GoFly Holidays,DEL-KUL,13800,11-02-2026,21-02-2026,Closed,Priya S.,Email,amount credited as per process
