Ref No,Agent Name,Sector,Amount Paid (INR),Deduction (INR),Received On,Processed On,Payout Status,Approved By,Remarks
RF-1802,ORBIT TRAVELS,DEL-SIN,40500,0,15-02-2026,18-02-2026,Refund Done,R. Menon,transferred
RF-1101,GoFly Holidays,MAA-CMB,9700,0,04-04-2026,08-04-2026,Refund Done,,NEFT done
RF-1447,WANDER AGENCY,BOM-DXB,16900,0,20-05-2026,26-05-2026,Refund Done,,NEFT done
RF-1712,Anand Travels,DEL-DXB,18700,,27-03-2026,31-03-2026,Refund Done,,paid to wallet
rf-1711,TripHub,DEL-DXB,13600,0,17-03-2026,18/03/26,Refund Done,,paid to wallet
RF-1590,Wander Agency,BLR-MAA,9300,,22-02-2026,23-02-2026,Refund Done,,payout complete
RF-1845,GoFly Holidays,PNQ-DEL,10100,0,04-04-2026,08-04-2026,Refund Done,,payout complete
RF-1228,Peak Journeys,DEL-DXB,14300,0,09-02-2026,10-02-2026,Refund Done,,paid to wallet
RF-1694,Skyline Travels,BLR-MAA,6400,0,08-05-2026,11-05-2026,Refund Done,,transferred
rf-1367,BlueJet Tours,BLR-DXB,23200,0,09-02-2026,12-02-2026,Refund Done,N. Iyer,NEFT done
RF-1290,Kaveri Tours,PNQ-DEL,12200,0,07-03-2026,10-03-2026,Refund Done,,payout complete
RF-1640,Peak Journeys,CCU-BOM,11300,,29-05-2026,02-06-2026,Refund Done,,transferred
RF-1298,GoFly Holidays,MAA-CMB,13900,1500,07-06-2026,12-06-2026,Refund Done,,NEFT done
RF-1113,Nomad Travel,DEL-SIN,,0,28-06-2026,,Pending Payout,,in queue
RF-1771,Kaveri Tours,DEL-KUL,31100,0,28-02-2026,02-03-2026,Refund Done,N. Iyer,payout complete
RF-1150,Orbit Travels,MAA-CMB,,,29-06-2026,,Pending Payout,,awaiting approval
RF-1826,Pinnacle Getaways,DEL-CCU,8000,0,29-03-2026,31/03/26,Refund Done,,paid to wallet
RF-1332,Nomad Travel,BOM-DXB,14100,0,02-03-2026,03-03-2026,Refund Done,,paid to wallet
RF-1831,Himalaya Holidays,CCU-BOM,11800,0,17-05-2026,18-05-2026,Refund Done,,NEFT done
RF-1588 (revised),Wander Agency,HYD-DEL,9400,,29-04-2026,01-05-2026,Refund Done,,paid to wallet
RF-1801,Voyage Desk,GOI-BOM,6900,0,06-02-2026,08/02/26,Refund Done,,paid to wallet
RF-1029,Skyline Travels,HYD-BKK,17100,0,06-03-2026,09-03-2026,Refund Done,,settled
RF-1015,TripHub,DEL-KUL,15200,0,17-06-2026,26-06-2026,Refund Done,,settled
RF-1079,SafarNama Travel,DEL-DXB,28800,0,10-02-2026,13-02-2026,Refund Done,N. Iyer,NEFT done
rf-1705,Wander Agency,HYD-BKK,30700,0,30-04-2026,05-05-2026,Refund Done,S. Bhatt,payout complete
RF-1635,Wander Agency,CCU-BOM,14800,0,05-04-2026,07-04-2026,Refund Done,,transferred
RF-1492,Skyline Travels,BOM-BKK,21200,0,19-04-2026,24-04-2026,Refund Done,N. Iyer,payout complete
RF-1623,BlueJet Tours,DEL-SIN,32000,0,13-04-2026,15-04-2026,Refund Done,N. Iyer,NEFT done
RF-1807,Metro Yatra,BLR-DXB,19400,0,09-02-2026,12-02-2026,Refund Done,,paid to wallet
RF-1503,BlueJet Tours,HYD-DEL,9200,,19-02-2026,22-02-2026,Refund Done,,NEFT done
RF-1587,Global Wings,BLR-MAA,10100,,10-06-2026,14-06-2026,Refund Done,,payout complete
RF-1221,Kaveri Tours,DEL-BOM,11600,0,09-06-2026,14-06-2026,Refund Done,,transferred
RF-1702,Wander Agency,HYD-BKK,29600,2600,11-05-2026,03-06-2026,Refund Done,N. Iyer,paid to wallet
RF-1606,BlueJet Tours,DEL-KUL,32500,,14-03-2026,20-03-2026,Refund Done,S. Bhatt,payout complete
RF-1437,Himalaya Holidays,DEL-DXB,26400,0,07-03-2026,11-03-2026,Refund Done,S. Bhatt,settled
RF-1468,VOYAGE DESK,DEL-DXB,25500,2200,07-05-2026,16-05-2026,Refund Done,N. Iyer,NEFT done
RF-1581,Yatri Junction,COK-DXB,14300,0,06-02-2026,07-02-2026,Refund Done,,paid to wallet
RF-1216,wander agency,BLR-DXB,15000,0,05-05-2026,06-05-2026,Refund Done,,paid to wallet
RF-1506,Nomad Travel,BOM-DXB,21000,0,05-03-2026,09-03-2026,Refund Done,N. Iyer,transferred
RF-1045,GoFly Holidays,CCU-BOM,10900,0,22/02/26,26-02-2026,Refund Done,,settled
RF-1117,Yatri Junction,BLR-DXB,23200,0,11-02-2026,13/02/26,Refund Done,N. Iyer,paid to wallet
RF-1202,TripHub ,BLR-MAA,7900,,19-02-2026,23-02-2026,Refund Done,,transferred
RF-1496,Skyline Travels,BLR-DXB,25600,,07-03-2026,10/03/26,Refund Done,N. Iyer,NEFT done
RF 1374,Voyage Desk,CCU-BOM,8500,,02-03-2026,06-03-2026,Refund Done,,transferred
RF-1634,Sunrise Trips,DEL-KTM,12400,,01-05-2026,03-05-2026,Refund Done,,payout complete
RF-1609,GoFly Holidays,DEL-KTM,9900,0,31-03-2026,03-04-2026,Refund Done,,paid to wallet
RF-1416,Wander Agency,DEL-DXB,22600,2000,06-05-2026,21-05-2026,Refund Done,N. Iyer,transferred
RF-1294,Himalaya Holidays,BLR-DXB,26300,0,08-04-2026,10-04-2026,Refund Done,S. Bhatt,paid to wallet
RF-1813,GoFly Holidays,CCU-BOM,9100,0,27-03-2026,29-03-2026,Refund Done,,transferred
RF-1750,BlueJet Tours,DEL-CCU,12900,,11-02-2026,15-02-2026,Refund Done,,NEFT done
RF-1776,Lotus Travel Co,BLR-MAA,0,,21-05-2026,25-05-2026,Declined,,not approved
RF-1007,TripHub,DEL-DXB,21400,0,04-04-2026,07-04-2026,Refund Done,N. Iyer,transferred
RF-1344,Himalaya Holidays,BLR-DXB,0,0,25-04-2026,30-04-2026,Declined,,declined
RF-1267 (revised),TripHub,BLR-MAA,6400,0,30-05-2026,31-05-2026,Refund Done,,NEFT done
RF-1687,GoFly Holidays,DEL-KTM,18000,0,10-04-2026,11-04-2026,Refund Done,,paid to wallet
RF-1104,GoFly Holidays,DEL-DXB,11200,1500,26/05/26,01-06-2026,Refund Done,,payout complete
RF-1765,Metro Yatra,CCU-BOM,8400,0,30-05-2026,02-06-2026,Refund Done,,NEFT done
RF-1461,Skyline Travels,DEL-BOM,,0,30-06-2026,,Pending Payout,,pending manager sign-off
RF-1417,Orbit Travels,PNQ-DEL,4100,0,29-05-2026,02-06-2026,Refund Done,,transferred
RF-1525,GoFly Holidays,DEL-KTM,11400,1500,16-06-2026,19-06-2026,Refund Done,,payout complete
RF-1024,Peak Journeys,CCU-BOM,5300,0,03-02-2026,05-02-2026,Refund Done,,payout complete
RF1470,Kaveri Tours,DEL-CCU,8300,0,28-04-2026,29-04-2026,Refund Done,,paid to wallet
RF-1674,GoFly Holidays,COK-DXB,27900,,09-02-2026,13-02-2026,Refund Done,N. Iyer,NEFT done
RF-1306,Skyline Travels,HYD-DEL,,,26-06-2026,,Pending Payout,,awaiting approval
RF-1463,DeccanFly,DEL-BOM,,0,30-06-2026,,Pending Payout,,hold - amount mismatch
RF-1257,Skyline Travels,DEL-DXB,27100,0,19-02-2026,24-02-2026,Refund Done,N. Iyer,paid to wallet
RF-1650,BlueJet Tours,DEL-CCU,4200,0,09-04-2026,10-04-2026,Refund Done,,NEFT done
RF-1737,Wander Agency ,PNQ-DEL,4900,,28-06-2026,30-06-2026,Refund Done,,NEFT done
RF-1511,Anand Travels,DEL-KUL,,1900,09/06/26,,Pending Payout,,pending manager sign-off
RF-1791,TripHub,BLR-DXB,,1600,29-06-2026,,Pending Payout,,supplier not confirmed
RF-1165,Orbit Travels,DEL-BOM,10300,,17-04-2026,19-04-2026,Refund Done,,settled
RF-1618,Lotus Travel Co,BLR-DXB,16300,,19-03-2026,21-03-2026,Refund Done,,paid to wallet
RF-1414,TripHub,BLR-DXB,28500,0,17/03/26,22-03-2026,Refund Done,N. Iyer,settled
RF-1757,Wander Agency,COK-DXB,,,13-06-2026,,Pending Payout,,awaiting approval
RF-1456,GoFly Holidays,DEL-BOM,5100,,23-05-2026,24-05-2026,Refund Done,,paid to wallet
RF-1488,Peak Journeys,DEL-CCU,8800,0,21-05-2026,26-05-2026,Refund Done,,NEFT done
RF-1498,Kaveri Tours,DEL-KTM,14000,0,07-04-2026,09-04-2026,Refund Done,,NEFT done
RF-1756,PEAK JOURNEYS,DEL-CCU,7500,,07-03-2026,10-03-2026,Refund Done,,transferred
RF-1621,Lotus  Travel  Co,DEL-SIN,27100,0,22-04-2026,24-04-2026,Refund Done,N. Iyer,transferred
RF-1828,Voyage Desk,DEL-BOM,12500,,19-02-2026,20-02-2026,Refund Done,,settled
RF-1647,Voyage Desk,HYD-DEL,6300,0,06-05-2026,12-05-2026,Refund Done,,settled
RF-1778,Skyline Travels,DEL-KUL,,2300,04-06-2026,,Pending Payout,,supplier not confirmed
RF-1192,Yatri Junction,AMD-BOM,9600,0,05/05/26,08-05-2026,Refund Done,,settled
RF-1855,Himalaya Holidays,DEL-CCU,11400,0,29-03-2026,30-03-2026,Refund Done,,settled
RF-1721,Kaveri Tours,DEL-SIN,16500,0,15-05-2026,20-05-2026,Refund Done,,payout complete
RF-1649,Orbit Travels,DEL-KUL,16500,,24-02-2026,27-02-2026,Refund Done,,transferred
RF-1131,GoFly Holidays,AMD-BOM,7000,,22-03-2026,24-03-2026,Refund Done,,transferred
RF-1261,TripHub,BLR-MAA,7600,0,03-05-2026,07-05-2026,Refund Done,,settled
RF-1152,BlueJet Tours,DEL-DXB,23000,2000,02-06-2026,21-06-2026,Refund Done,S. Bhatt,NEFT done
RF-1763,SafarNama Travel,DEL-DXB,28600,0,23/04/26,27-04-2026,Refund Done,N. Iyer,payout complete
RF-1455,Peak Journeys,DEL-CCU,8400,0,17-03-2026,20-03-2026,Refund Done,,settled
RF-1545,coral voyages,BOM-DXB,19000,0,25-02-2026,01-03-2026,Refund Done,,paid to wallet
RF-1013,Sunrise Trips,CCU-BOM,4600,0,25-03-2026,26-03-2026,Refund Done,,paid to wallet
RF-1614,Metro Yatra,DEL-SIN,0,0,03-05-2026,06-05-2026,Declined,,rejected
RF-1059,BlueJet Tours,HYD-DEL,7000,0,01-04-2026,03-04-2026,Refund Done,,settled
RF-1782,TripHub,DEL-SIN,,0,17-06-2026,,Pending Payout,,supplier not confirmed
RF-1797,GoFly Holidays,BOM-BKK,21100,0,21-03-2026,25-03-2026,Refund Done,N. Iyer,transferred
RF-1239,triphub,BLR-DXB,14200,0,25-05-2026,31-05-2026,Refund Done,,settled
RF-1578,Peak Journeys,HYD-DEL,6800,,19-03-2026,20/03/26,Refund Done,,payout complete
RF-1301,BlueJet Tours,HYD-DEL,5000,0,21-03-2026,25-03-2026,Refund Done,,settled
RF-1554,peak journeys,HYD-DEL,7600,,26-04-2026,28-04-2026,Refund Done,,paid to wallet
RF-1548,Metro Yatra,DEL-BOM,,,28-06-2026,,Pending Payout,,hold - amount mismatch
RF-1284,BlueJet Tours,DEL-CCU,9900,,05-03-2026,07-03-2026,Refund Done,,payout complete
RF-1633,BlueJet Tours,DEL-DXB,12700,0,20-02-2026,24-02-2026,Refund Done,,NEFT done
RF-1325,GoFly Holidays,BLR-MAA,10700,,11-02-2026,13/02/26,Refund Done,,paid to wallet
RF-1719,BlueJet Tours,PNQ-DEL,7600,0,17-02-2026,18-02-2026,Refund Done,,settled
RF-1022,TripHub,HYD-BKK,23900,0,25-02-2026,01-03-2026,Refund Done,S. Bhatt,settled
RF-1751,GoFly Holidays,HYD-DEL,7000,0,30-05-2026,01-06-2026,Refund Done,,payout complete
RF-1521,GoFly Holidays,DEL-KTM,14000,,26-03-2026,29-03-2026,Refund Done,,settled
RF-1659,BlueJet Tours,DEL-KUL,18000,0,01-04-2026,05-04-2026,Refund Done,,paid to wallet
RF-1049,BlueJet Tours,DEL-SIN,41700,0,10-04-2026,12-04-2026,Refund Done,S. Bhatt,NEFT done
RF-1363 (revised),Metro Yatra,DEL-KTM,15000,0,04-05-2026,06-05-2026,Refund Done,,transferred
RF-1806,TripHub,BLR-MAA,6700,0,19-04-2026,23-04-2026,Refund Done,,settled
RF-1170,Nomad Travel,BOM-BKK,35900,0,03-03-2026,07-03-2026,Refund Done,N. Iyer,transferred
RF-1181,Pinnacle Getaways,GOI-BOM,8800,,08-06-2026,10-06-2026,Refund Done,,paid to wallet
RF-1769,Anand Travels,DEL-DXB,10800,0,24-02-2026,28-02-2026,Refund Done,,payout complete
RF-1775,Sunrise Trips,DEL-CCU,9400,0,23-03-2026,27-03-2026,Refund Done,,NEFT done
RF-1803,TripHub,DEL-CCU,11700,0,06/04/26,08-04-2026,Refund Done,,NEFT done
RF-1839,TripHub,DEL-CCU,5800,0,29-03-2026,01-04-2026,Refund Done,,NEFT done
RF-1630,TripHub,DEL-BOM,10700,0,09-03-2026,11-03-2026,Refund Done,,paid to wallet
RF-1502,DeccanFly,DEL-DXB,22500,,03-03-2026,06-03-2026,Refund Done,N. Iyer,NEFT done
RF-1676,Pinnacle Getaways ,COK-DXB,0,0,10-02-2026,16-02-2026,Declined,,rejected
RF-1366,TripHub,DEL-CCU,9000,,07-06-2026,15-06-2026,Refund Done,,transferred
RF-1391,GoFly Holidays,BOM-BKK,25600,0,23-02-2026,25-02-2026,Refund Done,N. Iyer,transferred
RF-1225,Voyage Desk,BOM-BKK,18200,1600,06-05-2026,12-05-2026,Refund Done,,NEFT done
RF-1121,Global Wings,BLR-MAA,3500,,10-02-2026,12-02-2026,Refund Done,,settled
rf-1033,Skyline Travels,HYD-DEL,8100,0,06/04/26,10-04-2026,Refund Done,,settled
RF-1400,Wander Agency,DEL-CCU,12300,0,12-02-2026,13-02-2026,Refund Done,,paid to wallet
RF-1028,BlueJet Tours,DEL-DXB,10200,1500,28-05-2026,03-06-2026,Refund Done,,transferred
RF-1601,TripHub,DEL-DXB,30400,,09-02-2026,11-02-2026,Refund Done,N. Iyer,payout complete
RF-1717,Lotus Travel Co,AMD-BOM,7500,,15-06-2026,23-06-2026,Refund Done,,settled
RF-1551,Peak Journeys,HYD-BKK,31200,2700,12-05-2026,23-05-2026,Refund Done,N. Iyer,paid to wallet
RF-1186,TripHub,DEL-KUL,31800,,02-03-2026,05-03-2026,Refund Done,S. Bhatt,settled
RF-1143,SafarNama Travel,BOM-BKK,14800,0,06/03/26,07-03-2026,Refund Done,,settled
RF-1032,METRO YATRA,DEL-CCU,9100,0,10-06-2026,13/06/26,Refund Done,,transferred
RF-1595,Metro Yatra,GOI-BOM,4000,0,21-03-2026,24-03-2026,Refund Done,,payout complete
RF-1527,WANDER AGENCY,DEL-CCU,0,0,19-04-2026,24-04-2026,Declined,,rejected by policy
RF-1288,Sunrise Trips,MAA-CMB,12800,0,13-04-2026,15-04-2026,Refund Done,,paid to wallet
RF-1738,TripHub,BOM-BKK,31400,,05-04-2026,07-04-2026,Refund Done,R. Menon,paid to wallet
RF-1358,Nomad Travel,BLR-DXB,16600,0,15-04-2026,16-04-2026,Refund Done,,transferred
RF-1188,TripHub,MAA-CMB,8900,1500,03-06-2026,04-06-2026,Refund Done,,NEFT done
RF-1080,Lotus Travel Co,BLR-DXB,17800,1500,13-05-2026,17-05-2026,Refund Done,,settled
RF-1388,safarnama travel,CCU-BOM,8900,0,21-06-2026,26-06-2026,Refund Done,,paid to wallet
RF-1365,ZIPTRIP,BLR-DXB,13900,0,06-03-2026,08-03-2026,Refund Done,,payout complete
RF-1433 ,Skyline Travels,HYD-BKK,21600,0,23-04-2026,27-04-2026,Refund Done,S. Bhatt,payout complete
RF-1824,GoFly Holidays,BLR-DXB,16500,0,05-04-2026,08-04-2026,Refund Done,,payout complete
RF-1316,BlueJet Tours,DEL-CCU,7700,0,07-02-2026,09-02-2026,Refund Done,,paid to wallet
RF-1206,BlueJet Tours,DEL-BOM,5500,0,22/02/26,25-02-2026,Refund Done,,settled
RF-1197,GoFly Holidays,BOM-DXB,16200,1500,07-05-2026,10-05-2026,Refund Done,,settled
RF-1184,Nomad Travel,COK-DXB,11000,0,12-03-2026,14-03-2026,Refund Done,,NEFT done
RF-1478,BlueJet Tours,DEL-BOM,6000,,05-06-2026,08-06-2026,Refund Done,,paid to wallet
RF-1177,Pinnacle Getaways,DEL-KUL,13300,0,26-03-2026,28-03-2026,Refund Done,,settled
RF-1710,GoFly Holidays,PNQ-DEL,0,,08-02-2026,14-02-2026,Declined,,not approved
RF-1383,Orbit Travels,BLR-DXB,19100,0,04-04-2026,07-04-2026,Refund Done,,NEFT done
RF-1582,Sunrise Trips,MAA-CMB,5800,1500,07-06-2026,09/06/26,Refund Done,,transferred
RF-1427,Yatri Junction,DEL-KTM,7700,0,08-02-2026,09-02-2026,Refund Done,,payout complete
RF-1452,Pinnacle Getaways ,DEL-BOM,13700,0,19-05-2026,23-05-2026,Refund Done,,NEFT done
RF-1226 ,Orbit Travels,MAA-CMB,15800,1500,04-06-2026,09-06-2026,Refund Done,,paid to wallet
RF-1105,GoFly Holidays,BLR-DXB,12800,,15-04-2026,18-04-2026,Refund Done,,settled
RF-1512,Metro Yatra,CCU-BOM,7100,0,16-04-2026,18-04-2026,Refund Done,,NEFT done
RF-1318,Kaveri Tours,HYD-DEL,11100,0,08-03-2026,12-03-2026,Refund Done,,NEFT done
RF-1678,Kaveri Tours,HYD-BKK,27700,0,08-02-2026,11-02-2026,Refund Done,S. Bhatt,paid to wallet
RF-1172,Sunrise Trips,DEL-DXB,25500,0,26-04-2026,28-04-2026,Refund Done,N. Iyer,settled
RF-1258,Pinnacle Getaways,BLR-MAA,10100,0,01-03-2026,03-03-2026,Refund Done,,payout complete
RF-1781,Anand Travels,BLR-DXB,18700,0,11-03-2026,13-03-2026,Refund Done,,NEFT done
RF-1126,Metro Yatra,GOI-BOM,3900,,27-02-2026,03-03-2026,Refund Done,,payout complete
RF-1591,Lotus Travel Co,GOI-BOM,,0,30-06-2026,,Pending Payout,,pending manager sign-off
RF-1429,Lotus Travel Co ,MAA-CMB,12500,0,02-05-2026,04-05-2026,Refund Done,,transferred
RF-1436,BlueJet Tours,GOI-BOM,4900,0,13-06-2026,21-06-2026,Refund Done,,NEFT done
RF-1244,Skyline Travels,DEL-CCU,11000,0,21-04-2026,22-04-2026,Refund Done,,NEFT done
RF-1194,Metro Yatra,BOM-DXB,18300,,08-02-2026,10-02-2026,Refund Done,,payout complete
RF-1373,BlueJet Tours,DEL-KUL,0,0,10-03-2026,13-03-2026,Declined,,non-refundable fare
